sample_conditions,mineral,cycle,triplicate,experiment_code,retention_time,assignments,carbon_chain_length,compound_number,normalized_intensity
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,14.583333333333307,Aldopentose 3,5,14,0.0220964746948541
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,14.657666666666708,Aldopentose 4,5,15,0.0282726557972262
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,14.998666666666708,3-Ketopentose,5,18,0.3396629682399847
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,17.34133333333331,"(alpha,beta)-bis-hydroxymethyl-aldotetrose",6,21,0.782270299218453
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,17.591000000000008,alpha-hydroxymethyl-3-Ketopentose,6,24,0.2454186879624874
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,17.733666666666707,3-Ketohexose 1,6,22,0.03319206852819
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,17.88500000000001,3-Ketohexose 2,6,23,0.0755801780374838
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,b,MIN008,19.72600000000001,Ketoheptose,7,29,0.1034539108529752
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,5.952666666666659,Glyceraldehyde,3,4,0.0234990184110715
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,9.969333333333328,Aldotrionic acid,3,5,0.0897808175734665
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,11.54200000000004,alpha-hydroxymethyl-aldotriose,4,9,1.6855394584808008
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,11.78666666666664,Erythrose,4,8,0.0767565738304514
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,11.896666666666638,Threose,4,7,0.0612818217207631
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,11.983666666666638,Erythrulose,4,6,0.413179503767049
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,12.079666666666638,Erythritol,4,10,0.0158307117060371
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,14.05500000000004,Unknown_4,unknown,0,0.0335449134848867
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,14.429666666666638,alpha-hydroxymethyl-aldotetrose,5,19,0.3782505347469377
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,14.512000000000038,beta-hydroxymethyl-aldotetrose,5,20,0.1823994087468265
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,14.582333333333338,Aldopentose 3,5,14,0.040903546713518
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,14.652333333333338,Aldopentose 4,5,15,0.0539739294601402
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,14.996333333333338,3-Ketopentose,5,18,0.2841072832153746
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,17.34000000000004,"(alpha,beta)-bis-hydroxymethyl-aldotetrose",6,21,0.7846065282764502
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,17.58933333333334,alpha-hydroxymethyl-3-Ketopentose,6,24,0.2986688527272541
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,17.735333333333337,3-Ketohexose 1,6,22,0.0440934450360229
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,17.887333333333338,3-Ketohexose 2,6,23,0.0713206579371087
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,b,MIN008,19.72266666666664,Ketoheptose,7,29,0.143516321396696
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,5.956666666666658,Glyceraldehyde,3,4,0.0458157187154592
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,9.97,Aldotrionic acid,3,5,0.0986481305065269
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,11.543000000000038,alpha-hydroxymethyl-aldotriose,4,9,1.885307597305089
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,11.788000000000038,Erythrose,4,8,0.120128331431767
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,11.896000000000038,Threose,4,7,0.0996621118339166
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,11.983666666666638,Erythrulose,4,6,0.5001180531171195
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,12.08033333333334,Erythritol,4,10,0.0147516445711834
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,14.056666666666638,Unknown_4,unknown,0,0.0235595897603666
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,14.43000000000004,alpha-hydroxymethyl-aldotetrose,5,19,0.3602033717907949
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,14.512000000000038,beta-hydroxymethyl-aldotetrose,5,20,0.2061088950781554
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,14.58133333333334,Aldopentose 3,5,14,0.0320326584158498
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,14.653333333333338,Aldopentose 4,5,15,0.0421078043482326
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,14.995666666666638,3-Ketopentose,5,18,0.2763361625636713
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,17.34100000000004,"(alpha,beta)-bis-hydroxymethyl-aldotetrose",6,21,0.949093548256735
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,17.59100000000004,alpha-hydroxymethyl-3-Ketopentose,6,24,0.2906916842554359
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,17.73433333333334,3-Ketohexose 1,6,22,0.0461707443130373
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,17.89066666666664,3-Ketohexose 2,6,23,0.0882489287134061
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,1,c,MIN008,19.72366666666664,Ketoheptose,7,29,0.1519655433517724
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,c,MIN008,5.952999999999999,Glyceraldehyde,3,4,0.0399667730068697
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,c,MIN008,9.97066666666666,Aldotrionic acid,3,5,0.081987339272717
"NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM);NaOH(25),CaCl2(10mM),DHA(35mM),FA(50mM)",Zirconium silicate,2,c,MIN008,11.543666666666638,alpha-hydroxymethyl-aldotriose,4,9,1.3243458951606135
